Name,Age,Net_Worth,Income Source,Citizenship
Rajendra Agarwal ,63.0,$2.4 B,Healthcare ,India
Cho Jung-ho ,63.0,$2.7 B,Finance & Investments ,South Korea
Melker Schorling & family ,74.0,$10.4 B,Finance & Investments ,Sweden
Alexander Mamut ,62.0,$2.1 B,Finance & Investments ,Russia
Steve Case ,63.0,$1.5 B,Technology ,United States
Lin Jianhua & family ,59.0,$12.1 B,Manufacturing ,China
Joseph Steinberg ,78.0,$1 B,Finance & Investments ,United States
Xue Jiping ,71.0,$1.5 B,Telecom ,China
Bruce Mathieson ,78.0,$1.7 B,Food & Beverage ,Australia
Lu Xiangyang ,59.0,$15.7 B,Automotive ,China
Joesley Batista ,50.0,$4.3 B,Food & Beverage ,Brazil
Shyam & Hari Bhartia,69,$4.95B,diversified,India
Yuri Milner ,60.0,$7.3 B,Finance & Investments ,Israel
Karthik Sarma ,47.0,$3.1 B,Finance & Investments ,India
Wang Chou-hsiong ,81.0,$1.9 B,Manufacturing ,Taiwan
Subba Rao Jasti ,95.0,$1.1 B,Healthcare ,India
Philippe Ginestet & family ,68.0,$1.6 B,Fashion & Retail ,France
Yadu Hari Dalmia & family ,74.0,$2.2 B,Manufacturing ,India
Norma Lerner ,86.0,$1.1 B,Finance & Investments ,United States
Thomas von Koch ,56.0,$1.5 B,Finance & Investments ,Sweden
Akira Mori & family ,85.0,$3.7 B,Real Estate ,Japan
Tan Yu Yeh ,51.0,$1.6 B,Fashion & Retail ,Malaysia
Leon Black ,70.0,$10 B,Finance & Investments ,United States
He Xiaopeng ,44.0,$4 B,Automotive ,China
Kushal Pal Singh ,90.0,$8.8 B,Real Estate ,India
Veronica Squinzi ,50.0,$1.3 B,Construction & Engineering ,Italy
Bernard Arnault & family ,73.0,$158 B,Fashion & Retail ,France
George Roberts ,78.0,$8 B,Finance & Investments ,United States
Wan Long ,81.0,$1.3 B,Food & Beverage ,China
Yingming Wu ,55.0,$2.3 B,Energy ,China
Ke Guihua ,56.0,$1.1 B,Manufacturing ,China
Maurizio Billi ,64.0,$2.8 B,Healthcare ,Brazil
Zhaojiang Zhu ,48.0,$1.7 B,Manufacturing ,China
Wenrong Shen ,76.0,$2.3 B,Metals & Mining ,China
Niraj Shah ,48.0,$1.6 B,Technology ,United States
G. Gnanalingam ,77.0,$1.7 B,Logistics ,Malaysia
Stewart Rahr ,76.0,$2.5 B,Healthcare ,United States
Dhanin Chearavanont ,82.0,$13.5 B,Diversified ,Thailand
Roberto Ongpin ,85.0,$1 B,Diversified ,Philippines
E. Joe Shoen ,72.0,$4.1 B,Automotive ,United States
Leonardo Del Vecchio & family ,86.0,$27.3 B,Fashion & Retail ,Italy
Jay-Z ,52.0,$1.4 B,Media & Entertainment ,United States
Wang Laisheng ,57.0,$9.8 B,Technology ,China
Maren Otto ,,$3.5 B,Diversified ,Germany
Alan Howard ,58.0,$3.2 B,Finance & Investments ,United Kingdom
Viatcheslav Kantor ,68.0,$4.6 B,Manufacturing ,Russia
Alberto Cortina ,76.0,$1.3 B,Finance & Investments ,Spain
Ryan Breslow ,27.0,$2 B,Technology ,United States
Gail Miller ,78.0,$3.2 B,Automotive ,United States
Peter Hargreaves ,75.0,$3.1 B,Finance & Investments ,United Kingdom
Hans Sy ,66.0,$2.6 B,Diversified ,Philippines
Wei Lidong & family ,46.0,$1.4 B,Technology ,China
Philippe Foriel-Destezet ,86.0,$3.1 B,Service ,France
Keiichi Shibahara ,57.0,$1.6 B,Healthcare ,Japan
Clive Palmer ,68.0,$2.1 B,Metals & Mining ,Australia
Shusheng Zheng ,56.0,$1.2 B,Telecom ,China
Qian Ying ,56.0,$1.6 B,Food & Beverage ,China
Michael Kadoorie ,80.0,$7.2 B,Energy ,Hong Kong
Pierre Chen ,65.0,$4.7 B,Technology ,Taiwan
Alain Wertheimer ,73.0,$31.2 B,Fashion & Retail ,France
Katarina Martinson ,40.0,$1.9 B,Diversified ,Sweden
Gordon Wu ,86.0,$1.7 B,Real Estate ,Hong Kong
Han Arming Hanafia ,,$1.1 B,Technology ,Indonesia
Takahisa Takahara ,60.0,$6.4 B,Fashion & Retail ,Japan
Vasily Anisimov ,70.0,$1.6 B,Metals & Mining ,Russia
Jean-Paul Clozel ,67.0,$1 B,Healthcare ,Switzerland
Rufino Vigil Gonzalez ,73.0,$3 B,Metals & Mining ,Mexico
Walther Moreira Salles Junior ,65.0,$1.8 B,Finance & Investments ,Brazil
Alain Merieux & family ,84.0,$6.7 B,Healthcare ,France
Jonathan Oringer ,47.0,$1.5 B,Technology ,United States
Gil Shwed ,53.0,$3.5 B,Technology ,Israel
Vivek Jain ,66.0,$2.7 B,Manufacturing ,India
Xu Shaochun ,59.0,$1.4 B,Technology ,China
Ryan Smith ,43.0,$1.6 B,Technology ,United States
Kei Hoi Pang ,56.0,$3.2 B,Real Estate ,China
Jose Roberto Marinho ,66.0,$2 B,Media & Entertainment ,Brazil
Li Xiaohua & family ,60.0,$6.3 B,Manufacturing ,China
Sudhir & Samir Mehta,"pharmaceuticals, power",$7.1B,"Ahmedabad, India","Bachelor of Arts/Science, Gujarat University"
Dai Lizhong ,53.0,$1.1 B,Healthcare ,China
Tim Draper ,63.0,$1.2 B,Finance & Investments ,United States
Romano Minozzi ,87.0,$1.9 B,Diversified ,Italy
Mike Repole ,54.0,$1.5 B,Food & Beverage ,United States
Inder Jaisinghani,69,$3.6B,"cables & wires, Self Made",India
Hansjoerg Wyss ,87.0,$5 B,Healthcare ,Switzerland
Alberto Roemmers ,95.0,$2.4 B,Healthcare ,Argentina
Ted Turner ,83.0,$2.3 B,Media & Entertainment ,United States
Rishad Naoroji ,70.0,$2.5 B,Diversified ,India
Jason Chang ,77.0,$4.6 B,Technology ,Singapore
Kalanithi Maran,57,$2.5B,"media, Self Made",India
John Goff ,67.0,$1.2 B,Real Estate ,United States
Drew Houston ,39.0,$1.5 B,Technology ,United States
Chen Tei-fu ,73.0,$2.5 B,Fashion & Retail ,Taiwan
"Edward Roski, Jr. ",83.0,$5.6 B,Real Estate ,United States
Hu Baifan ,59.0,$4.8 B,Healthcare ,China
Hu Rongda & family ,63.0,$1.3 B,Manufacturing ,China
Antonio Percassi ,68.0,$1.4 B,Diversified ,Italy
Garrett Camp ,43.0,$2.8 B,Technology ,Canada
Richard Sands ,71.0,$3.4 B,Food & Beverage ,United States
Byron Trott ,63.0,$1.7 B,Finance & Investments ,United States
Max Lytvyn ,42.0,$4 B,Technology ,Canada
George Marcus ,80.0,$1.8 B,Real Estate ,United States
Denis O'Brien ,63.0,$3.8 B,Telecom ,Ireland
Pavel Baudis ,61.0,$2.7 B,Technology ,Czechia
Pieter van der Does ,52.0,$2.2 B,Technology ,Netherlands
Lee Seo-hyun ,48.0,$3.5 B,Diversified ,South Korea
Harald Link ,67.0,$2.1 B,Diversified ,Thailand
Prachak Tangkaravakoon ,78.0,$1.4 B,Manufacturing ,Thailand
Michael Spencer ,66.0,$1.1 B,Finance & Investments ,United Kingdom
Sara George Muthoot ,61.0,$1.4 B,Finance & Investments ,India
Robert Brockman ,80.0,$4.7 B,Technology ,United States
Bharat Desai ,69.0,$1.5 B,Technology ,United States
Stewart Horejsi & family ,84.0,$2.9 B,Finance & Investments ,United States
Roman Abramovich ,55.0,$6.9 B,Diversified ,Russia
Lui Che Woo ,93.0,$11.6 B,Gambling & Casinos ,Hong Kong
Daniel D'Aniello ,75.0,$4.2 B,Finance & Investments ,United States
Jose Ermirio de Moraes Neto ,69.0,$1.3 B,Diversified ,Brazil
Sun Huaiqing & family ,52.0,$1.2 B,Fashion & Retail ,China
Susan Carol Holland ,65.0,$3.8 B,Manufacturing ,Italy
Michael Bloomberg ,80.0,$82 B,Media & Entertainment ,United States
Sekar Vembu ,50.0,$1.3 B,Technology ,India
Anil Agarwal & family ,68.0,$4 B,Metals & Mining ,India
Finn Rausing ,67.0,$9.8 B,Food & Beverage ,Sweden
Huang Yi ,60.0,$5 B,Automotive ,Hong Kong
Paul-Heinz Wesjohann & family ,78.0,$3.8 B,Food & Beverage ,Germany
Pan Dong ,57.0,$2.8 B,Fashion & Retail ,Canada
Norman Braman ,89.0,$2.6 B,Automotive ,United States
"John Dorrance, III. ",78.0,$2.7 B,Food & Beverage ,Ireland
Antti Herlin ,65.0,$4.3 B,Manufacturing ,Finland
Scott Smith ,72.0,$1.1 B,Technology ,United States
Phillip T. (Terry) Ragon ,72.0,$1.8 B,Technology ,United States
Jason Jiang ,49.0,$4.3 B,Media & Entertainment ,China
James Goodnight ,79.0,$6.7 B,Technology ,United States
Ricardo Salinas Pliego & family ,66.0,$12.4 B,Fashion & Retail ,Mexico
Sylvia Stroeher ,66.0,$2 B,Fashion & Retail ,Germany
Yu Rong ,50.0,$1.1 B,Healthcare ,China
Charles Cohen ,70.0,$3.6 B,Real Estate ,United States
Vikas Oberoi ,51.0,$3.2 B,Real Estate ,India
MacKenzie Scott ,51.0,$43.6 B,Technology ,United States
Amy Goldman Fowler ,67.0,$2.8 B,Real Estate ,United States
Thomas Steyer ,64.0,$1.5 B,Finance & Investments ,United States
Richard Hayne ,74.0,$1.2 B,Fashion & Retail ,United States
Warren Buffett ,91.0,$118 B,Finance & Investments ,United States
Tung Ching Bor ,59.0,$1.6 B,Manufacturing ,China
Xie Bingkun & family ,55.0,$2.2 B,Fashion & Retail ,China
Lars Wingefors ,45.0,$1.7 B,Media & Entertainment ,Sweden
Renate Reimann-Haas ,70.0,$5.8 B,Fashion & Retail ,Germany
Laurie Tisch ,71.0,$1.2 B,Diversified ,United States
Johnelle Hunt ,90.0,$4.7 B,Logistics ,United States
Hongfei Zhao ,47.0,$2.1 B,Technology ,China
Susan Alfond ,76.0,$2.8 B,Fashion & Retail ,United States
Fernando Chico Pardo ,70.0,$1.9 B,Service ,Mexico
Igor Olenicoff ,79.0,$4.7 B,Real Estate ,United States
Pan Laican ,,$3 B,Food & Beverage ,China
Axel Stawski ,71.0,$1 B,Real Estate ,United States
Xiuguo Tang ,58.0,$1.1 B,Manufacturing ,China
Marc Ladreit de Lacharriere ,81.0,$4 B,Finance & Investments ,France
Ramesh Kumar and Mukand Lal Dua,footwear,$2.85B,"Delhi, India",
Nusli Wadia ,78.0,$3.3 B,Food & Beverage ,India
Zhang Tao ,49.0,$5 B,Fashion & Retail ,China
Jerry Ng ,56.0,$3.4 B,Finance & Investments ,Indonesia
Ruan Hongliang & family ,61.0,$6.5 B,Manufacturing ,China
Marianne Liebmann ,68.0,$5 B,Food & Beverage ,United States
Dasheng Yi ,61.0,$1.7 B,Diversified ,China
Yu Peidi ,62.0,$1.6 B,Real Estate ,Hong Kong
Mark Pincus ,56.0,$1.4 B,Technology ,United States
Marco Squinzi ,50.0,$1.3 B,Construction & Engineering ,Italy
Hong Seok-joh ,69.0,$1.1 B,Fashion & Retail ,South Korea
Ulrike Baro ,,$2.5 B,Healthcare ,Germany
Zhang Hejun ,,$4.5 B,Manufacturing ,China
Wen Zhou & family ,57.0,$1 B,Manufacturing ,China
Tobi Lutke ,41.0,$5 B,Technology ,Canada
George Thomas Muthoot ,71.0,$1.4 B,Finance & Investments ,India
Frank Lowy ,91.0,$6.8 B,Real Estate ,Australia
Robert Pera ,44.0,$14.6 B,Technology ,United States
Daniel Dines ,50.0,$2.9 B,Technology ,Romania
Yang Jianliang & family ,52.0,$4.4 B,Manufacturing ,China
Edward Lampert ,59.0,$1.8 B,Finance & Investments ,United States
Stanley Tang ,29.0,$1.2 B,Technology ,United States
Dongchen Cai ,69.0,$3.2 B,Healthcare ,China
David Filo ,55.0,$3.6 B,Technology ,United States
Wang Jianyi ,59.0,$1.3 B,Technology ,China
Barry Sternlicht ,61.0,$4.3 B,Finance & Investments ,United States
Ty Warner ,77.0,$4.3 B,Real Estate ,United States
Sanjeev Bikhchandani,59,$3.91B,"internet, Self Made",India
Autry Stephens ,83.0,$5 B,Energy ,United States
Kevin David Lehmann ,19.0,$2.4 B,Fashion & Retail ,Germany
Issad Rebrab & family ,78.0,$5.1 B,Food & Beverage ,Algeria
Hong Ra-hee ,76.0,$6.3 B,Technology ,South Korea
Jack Cowin ,79.0,$3.2 B,Food & Beverage ,Australia
Dan Snyder ,57.0,$4 B,Sports ,United States
Jim Thompson ,82.0,$1.3 B,Logistics ,United States
Zhisong Chen ,56.0,$2.4 B,Technology ,China
Jonathan Nelson ,65.0,$2.2 B,Finance & Investments ,United States
Yang Huiyan & family ,40.0,$18.7 B,Real Estate ,China
Edward Stack ,67.0,$1.7 B,Fashion & Retail ,United States
Keith Dunleavy & family ,52.0,$1.7 B,Healthcare ,United States
Justin Ishbia ,44.0,$1.5 B,Finance & Investments ,United States
Huang Jian ,55.0,$1 B,Manufacturing ,China
Song Chi-hyung ,43.0,$3.7 B,Finance & Investments ,South Korea
Susumu Fujita ,48.0,$1.3 B,Media & Entertainment ,Japan
Pedro Franceschi ,25.0,$1.5 B,Finance & Investments ,Brazil
Alan Trefler ,66.0,$2.9 B,Technology ,United States
Walter Faria ,67.0,$3.3 B,Food & Beverage ,Brazil
Vladimir Kim ,61.0,$5 B,Metals & Mining ,Kazakhstan
Sergio Mantegazza ,94.0,$2.8 B,Service ,Switzerland
Cao Jianwei ,43.0,$2 B,Manufacturing ,China
Alexandre Grendene Bartelle ,72.0,$1.8 B,Fashion & Retail ,Brazil
Ravi Modi ,45.0,$2.5 B,Fashion & Retail ,India
Yuan Liping ,51.0,$2 B,Healthcare ,Canada
Kjell Inge Rokke ,63.0,$5.4 B,Logistics ,Norway
Igor Kesaev ,55.0,$2.6 B,Fashion & Retail ,Russia
Lau Cho Kun ,86.0,$2.1 B,Diversified ,Malaysia
Cho Jyh-jer ,,$1.4 B,Technology ,Taiwan
"Wilbur  'Ed' Bosarge, Jr. ",82.0,$1 B,Finance & Investments ,United States
Nicolas Puech ,79.0,$6.6 B,Fashion & Retail ,France
Jack Cockwell ,81.0,$2.7 B,Finance & Investments ,Canada
Giorgio Armani ,87.0,$7.8 B,Fashion & Retail ,Italy
Josh Kushner ,36.0,$2 B,Finance & Investments ,United States
Rafael Del Pino ,63.0,$4.1 B,Construction & Engineering ,Spain
Cao Renxian ,53.0,$9.3 B,Energy ,China
Wang Jianlin ,67.0,$13.2 B,Real Estate ,China
Manuel Villar ,72.0,$8.3 B,Real Estate ,Philippines
Nicolas Berggruen ,60.0,$2.9 B,Real Estate ,United States
Gordon Getty ,88.0,$2.1 B,Energy ,United States
Egon Durban ,48.0,$1.5 B,Finance & Investments ,United States
Wu Chung-yi ,66.0,$1.2 B,Manufacturing ,Taiwan
Emmanuel Besnier ,51.0,$23.5 B,Food & Beverage ,France
Zhenggang Dou ,68.0,$2.2 B,Diversified ,China
Neide Helena de Moraes ,67.0,$1.3 B,Diversified ,Brazil
Torbjorn Tornqvist ,68.0,$1.8 B,Energy ,Sweden
Pansy Ho ,59.0,$3.2 B,Gambling & Casinos ,Hong Kong
Balkrishan Goenka ,55.0,$1.5 B,Manufacturing ,India
Johann Rupert & family ,71.0,$8.9 B,Fashion & Retail ,South Africa
Najib Mikati ,66.0,$3.2 B,Telecom ,Lebanon
Tang Jinkui & family ,66.0,$2.9 B,Manufacturing ,China
Anne Werninghaus ,36.0,$1.1 B,Manufacturing ,Brazil
Wu Shaoxun ,66.0,$3.6 B,Food & Beverage ,China
Yunfeng Ke & family ,55.0,$1 B,Healthcare ,China
Ken Langone ,86.0,$5.8 B,Finance & Investments ,United States
Lachhman Das Mittal ,91.0,$2.5 B,Automotive ,India
Steve Ballmer ,66.0,$91.4 B,Technology ,United States
Duke Reyes ,65.0,$1.2 B,Food & Beverage ,United States
Zhou Ruxin ,59.0,$1 B,Technology ,China
Madhukar Parekh ,75.0,$3.1 B,Manufacturing ,India
Wilhelm Beier & family ,65.0,$2.9 B,Healthcare ,Germany
Ye Yanqiao ,52.0,$1.3 B,Food & Beverage ,China
Jane Yan & family ,52.0,$1.1 B,Technology ,China
Chen Kaixuan ,63.0,$3.5 B,Manufacturing ,China
Ray Davis ,80.0,$2.3 B,Energy ,United States
Ajay Piramal,67,$2.7B,pharmaceuticals,India
Fan Hongwei & family ,55.0,$18.2 B,Energy ,China
Charles Dolan & family ,95.0,$5.4 B,Media & Entertainment ,United States
Sun Shoukuan ,72.0,$2.8 B,Manufacturing ,China
Charlotte Soderstrom ,45.0,$1.5 B,Fashion & Retail ,Sweden
George Bishop ,84.0,$2.7 B,Energy ,United States
Liora Ofer ,68.0,$1.8 B,Finance & Investments ,Israel
Dirk Ziff ,58.0,$5 B,Finance & Investments ,United States
Jean-Michel Besnier ,54.0,$8.2 B,Food & Beverage ,France
Mike Speiser ,51.0,$1 B,Technology ,United States
Jorge Paulo Lemann & family ,82.0,$15.4 B,Food & Beverage ,Brazil
Maritsa Lazari & family ,77.0,$2.8 B,Real Estate ,United Kingdom
Micky Arison ,72.0,$6.9 B,Service ,United States
Alex Beard ,54.0,$2.3 B,Metals & Mining ,United Kingdom
Maria Fernanda Amorim & family ,87.0,$4.7 B,Diversified ,Portugal
Caspar Callerström ,48.0,$1.1 B,Finance & Investments ,Sweden
Rajinder Gupta ,63.0,$2.6 B,Manufacturing ,India
Henry Laufer ,76.0,$2 B,Finance & Investments ,United States
Hao Hong ,66.0,$4 B,Healthcare ,United States
Stephen Smith ,70.0,$2.8 B,Finance & Investments ,Canada
Tadashi Yanai & family ,73.0,$26.1 B,Fashion & Retail ,Japan
Liu Xiucai & family ,65.0,$2.1 B,Manufacturing ,United States
Cyrus Poonawalla,81,$21.5B,vaccines,India
Sanjay Agarwal ,51.0,$1.2 B,Finance & Investments ,India
Yan Junxu ,52.0,$1.4 B,Manufacturing ,China
Niels Peter Louis-Hansen ,74.0,$7.2 B,Healthcare ,Denmark
Li Sze Lim ,65.0,$1.6 B,Real Estate ,Hong Kong
Jeffrey Talpins ,47.0,$2.2 B,Finance & Investments ,United States
Marc Benioff ,57.0,$8.1 B,Technology ,United States
Leonard Schleifer ,69.0,$1.2 B,Healthcare ,United States
Eduard Kucera ,69.0,$1.5 B,Technology ,Czechia
Xie Liangzhi & family ,56.0,$4.5 B,Healthcare ,China
Liu Fangyi ,52.0,$2.6 B,Healthcare ,China
James Irsay ,62.0,$3.5 B,Sports ,United States
Rajeev Juneja ,56.0,$1.3 B,Healthcare ,India
Igor Yusufov ,65.0,$1.1 B,Energy ,Russia
Alexei Kuzmichev ,59.0,$6 B,Energy ,Russia
Zhong Peifeng ,59.0,$1.7 B,Telecom ,United States
Kevin Plank ,49.0,$1.5 B,Fashion & Retail ,United States
Zhongru Gan ,73.0,$1.8 B,Healthcare ,China
Vladimir Lisin ,65.0,$18.4 B,Metals & Mining ,Russia
Zeng Fangqin ,56.0,$3.8 B,Technology ,China
Mohamed Al Fayed ,93.0,$2.1 B,Fashion & Retail ,Egypt
Bidzina Ivanishvili ,66.0,$4.8 B,Finance & Investments ,Georgia
Wolfgang Leitner ,69.0,$1.8 B,Construction & Engineering ,Austria
Alan Zekelman ,59.0,$1.7 B,Manufacturing ,Canada
Eric Lefkofsky ,52.0,$4.1 B,Technology ,United States
Alex Birkenstock ,53.0,$1.7 B,Fashion & Retail ,Germany
S.D. Shibulal,67,$1.9B,"software services, Self Made",India
Jon Stryker ,63.0,$4.2 B,Healthcare ,United States
Christian Birkenstock ,49.0,$1.7 B,Fashion & Retail ,Germany
Kelcy Warren ,66.0,$4 B,Energy ,United States
Sandor Csanyi ,69.0,$1.3 B,Diversified ,Hungary
Godrej family,"consumer goods, real estate",$15.2B,"Mumbai, India",
Bulat Utemuratov ,64.0,$2.8 B,Metals & Mining ,Kazakhstan
Li Guoqiang ,58.0,$3.7 B,Automotive ,China
Yasumitsu Shigeta ,57.0,$3.2 B,Telecom ,Japan
Nikil Viswanathan ,34.0,$2.4 B,Technology ,United States
Kiki Barki ,82.0,$1.9 B,Energy ,Indonesia
Patrick Drahi ,58.0,$6.6 B,Telecom ,France
Andrei Kozitsyn ,61.0,$1.9 B,Metals & Mining ,Russia
Alfredo Harp Helu & family ,78.0,$1.3 B,Finance & Investments ,Mexico
Pavel Tykac ,57.0,$3.4 B,Metals & Mining ,Czechia
Andrei Bokarev ,55.0,$1.2 B,Manufacturing ,Russia
Nik Storonsky ,37.0,$7.1 B,Finance & Investments ,United Kingdom
Brian Acton ,50.0,$2.8 B,Technology ,United States
Marc Lasry ,61.0,$1.8 B,Finance & Investments ,United States
N.R. Narayana Murthy,76,$4.6B,"software services, Self Made",India
Mukesh Ambani,65,$94.1B,diversified,India
Zhao Tao ,56.0,$2.5 B,Healthcare ,Singapore
Torstein Hagen ,79.0,$1.5 B,Service ,Norway
Alexandra Schoerghuber & family ,63.0,$4.9 B,Real Estate ,Germany
Bajranglal Taparia,88,$1.95B,plastics,India
Ashok Boob ,70.0,$1.2 B,Manufacturing ,India
Low Tuck Kwong ,73.0,$3.7 B,Energy ,Indonesia
Abilio dos Santos Diniz ,85.0,$2.7 B,Fashion & Retail ,Brazil
Farhad Moshiri ,66.0,$2.6 B,Diversified ,United Kingdom
Joseph Grendys ,60.0,$3.2 B,Food & Beverage ,United States
Martha Ingram & family ,86.0,$4.2 B,Media & Entertainment ,United States
Victoria Mars ,65.0,$7.9 B,Food & Beverage ,United States
Nobutoshi Shimamura ,96.0,$1.3 B,Fashion & Retail ,Japan
Lesley Bamberger ,56.0,$1.5 B,Real Estate ,Netherlands
Marie-Hélène Habert-Dassault ,57.0,$8.4 B,Diversified ,France
Hu Kun ,52.0,$1.2 B,Healthcare ,China
Jerzy Starak ,74.0,$4 B,Healthcare ,Poland
Lim Hariyanto Wijaya Sarwono ,93.0,$1.1 B,Energy ,Indonesia
Bajaj Family,diversified,$14.4B,"Pune, India",
Marijke Mars ,57.0,$7.9 B,Food & Beverage ,United States
Ashok Boob,70,$2.3B,"specialty chemicals, Self Made",India
Karin Schick ,,$2.3 B,Technology ,Germany
"Herbert Allen, Jr. & family ",82.0,$1.6 B,Finance & Investments ,United States
Nicola Bulgari ,81.0,$1.9 B,Fashion & Retail ,Italy
Lin Ming-hsiung ,72.0,$3.3 B,Fashion & Retail ,Taiwan
"Stephen Mandel, Jr. ",66.0,$3.9 B,Finance & Investments ,United States
Arnon Milchan ,77.0,$3.5 B,Media & Entertainment ,Israel
Yogesh Kothari,73,$1.4B,"specialty chemicals, Self Made",India
Isabella Seràgnoli ,76.0,$2.8 B,Manufacturing ,Italy
Sun Qinghuan ,48.0,$1.4 B,Technology ,China
Soichiro Minami ,45.0,$1.1 B,Technology ,Japan
G. M. Rao ,71.0,$1.5 B,Logistics ,India
Wang Jianguo ,62.0,$2 B,Fashion & Retail ,China
Doug Clarke ,41.0,$1 B,Technology ,Australia
God Nisanov ,49.0,$1.3 B,Real Estate ,Russia
Gabe Newell ,59.0,$3.9 B,Gambling & Casinos ,United States
Ahmet Calik ,64.0,$1.5 B,Diversified ,Turkey
Vera Rechulski Santo Domingo ,73.0,$1 B,Food & Beverage ,Brazil
Dwight Schar ,80.0,$1.9 B,Construction & Engineering ,United States
Michael Milken ,75.0,$3.8 B,Finance & Investments ,United States
Joe Lau ,32.0,$2.4 B,Technology ,United States
Ben Chestnut ,47.0,$5 B,Technology ,United States
Jian Jun ,58.0,$5.9 B,Healthcare ,China
Shao Jianxiong ,,$1.4 B,Energy ,China
Manny Stul ,72.0,$1.3 B,Manufacturing ,Australia
Lakshmi Mittal,72,$14.4B,steel,India
Shi Yuzhu ,59.0,$3.6 B,Diversified ,China
Fiona Geminder ,57.0,$3.5 B,Manufacturing ,Australia
Lim Wee Chai ,64.0,$1.6 B,Manufacturing ,Malaysia
Li Zhen & family ,58.0,$1.5 B,Manufacturing ,China
Jeffery Hildebrand ,63.0,$7.5 B,Energy ,United States
John Bloor ,78.0,$1.9 B,Diversified ,United Kingdom
Leslie Alexander ,78.0,$1.8 B,Sports ,United States
Israel Englander ,73.0,$11.5 B,Finance & Investments ,United States
Douglas Hsu ,79.0,$2.3 B,Diversified ,Taiwan
Gleb Fetisov ,55.0,$1.2 B,Telecom ,Russia
J. Joe Ricketts & family ,80.0,$4.5 B,Finance & Investments ,United States
Bobby Murphy ,33.0,$6.3 B,Technology ,United States
Enrique Razon Jr. ,62.0,$6.7 B,Logistics ,Philippines
Roberto Irineu Marinho ,74.0,$2 B,Media & Entertainment ,Brazil
Michael McCain ,,$1.1 B,Food & Beverage ,Canada
Charles Zegar ,74.0,$3 B,Media & Entertainment ,United States
Mark Coombs ,61.0,$1.8 B,Finance & Investments ,United Kingdom
Harsh Mariwala ,70.0,$3.1 B,Food & Beverage ,India
Dmitry Rybolovlev ,55.0,$6.6 B,Manufacturing ,Russia
Sunil Mittal,64,$14.7B,"telecom, Self Made",India
Stephan Schnabel ,,$1 B,Manufacturing ,Germany
Isaac Perlmutter ,79.0,$5.1 B,Media & Entertainment ,United States
Edythe Broad & family ,86.0,$6.9 B,Diversified ,United States
Andres Bzurovski Bay ,44.0,$1.5 B,Finance & Investments ,Uruguay
Antonio Gallardo Ballart ,86.0,$1.1 B,Healthcare ,Spain
Jensen Huang ,59.0,$20.6 B,Technology ,United States
Radhe Shyam Goenka ,76.0,$1.4 B,Fashion & Retail ,India
Rihanna ,34.0,$1.7 B,Fashion & Retail ,Barbados
Mario Moretti Polegato & family ,69.0,$1.7 B,Fashion & Retail ,Italy
Shi Yifeng ,48.0,$1.9 B,Healthcare ,China
Kirsten Rausing ,69.0,$9.8 B,Food & Beverage ,Sweden
Li Ping ,54.0,$9 B,Automotive ,Hong Kong
Zhongyi Wu ,48.0,$2 B,Technology ,China
Gautam Adani & family ,59.0,$90 B,Diversified ,India
Dan Gertler ,48.0,$1.2 B,Metals & Mining ,Israel
Baokun Bai ,52.0,$1.9 B,Manufacturing ,China
Lun Ruixiang & family ,54.0,$1.1 B,Real Estate ,China
Sabrina Benetton ,48.0,$1.4 B,Fashion & Retail ,Italy
Wei Ying-Chiao ,67.0,$1.6 B,Food & Beverage ,Taiwan
John Collison ,31.0,$9.5 B,Technology ,Ireland
Qian Dongqi & family ,64.0,$7.1 B,Manufacturing ,China
Michael Herz ,78.0,$4 B,Fashion & Retail ,Germany
Lai Jianping ,,$2.8 B,Food & Beverage ,China
Paul Singer ,77.0,$4.3 B,Finance & Investments ,United States
Sunil Vachani ,53.0,$1.1 B,Manufacturing ,India
Orlando Bravo ,51.0,$6.3 B,Finance & Investments ,United States
Hilton Schlosberg ,69.0,$2.4 B,Food & Beverage ,United Kingdom
Liu Chengyu & family ,59.0,$1.1 B,Manufacturing ,China
Neal Blue & family ,87.0,$3 B,Manufacturing ,United States
Faisal Bin Qassim Al Thani ,74.0,$2.1 B,Diversified ,Qatar
Bruce Karsh ,66.0,$2.2 B,Finance & Investments ,United States
Stephen Lansdown ,69.0,$2.5 B,Finance & Investments ,Guernsey
Stephan Schmidheiny ,74.0,$2.3 B,Finance & Investments ,Switzerland
Anders Holch Povlsen ,49.0,$13.6 B,Fashion & Retail ,Denmark
Pierre Omidyar ,54.0,$11.3 B,Technology ,United States
Takao Yasuda ,72.0,$2.7 B,Fashion & Retail ,Japan
"Amos Hostetter, Jr. ",85.0,$3.7 B,Media & Entertainment ,United States
Michael Tojner ,56.0,$3 B,Manufacturing ,Austria
Lai Meisong ,51.0,$4.7 B,Logistics ,China
Liu Zhongtian & family ,58.0,$1.8 B,Manufacturing ,China
Gao Jifan & family ,57.0,$8.7 B,Energy ,China
Hans-Werner Hector ,82.0,$2.3 B,Technology ,Germany
Wu Yiling ,72.0,$3.9 B,Healthcare ,China
David Siegel ,60.0,$6.5 B,Finance & Investments ,United States
Eric Yuan & family ,52.0,$5.2 B,Technology ,United States
Bambang Sutantio ,63.0,$1.6 B,Food & Beverage ,Indonesia
David Sun ,70.0,$5.6 B,Technology ,United States
