Name,Age,Net_Worth,Income Source,Citizenship
Wang Wenjing ,57.0,$5.4 B,Technology ,China
Alfred Gantner ,54.0,$2.8 B,Finance & Investments ,Switzerland
Peter Sperling ,62.0,$1.6 B,Service ,United States
Jeff Tangney ,49.0,$2.4 B,Healthcare ,United States
Joseph Lau ,70.0,$13.6 B,Real Estate ,Hong Kong
"William Conway, Jr. ",72.0,$3.8 B,Finance & Investments ,United States
Zhou Jianping ,61.0,$2.9 B,Fashion & Retail ,China
Mathias Doepfner ,59.0,$1.5 B,Media & Entertainment ,Germany
Jianfeng Wang & family ,52.0,$1.2 B,Automotive ,China
Ludwig Merckle ,57.0,$5.8 B,Finance & Investments ,Germany
Bianca Rinehart ,45.0,$2.2 B,Metals & Mining ,Australia
James Chambers ,64.0,$5.2 B,Media & Entertainment ,United States
Elon Musk ,50.0,$219 B,Automotive ,United States
Sachin Bansal ,40.0,$1.3 B,Fashion & Retail ,India
Robert Knauf ,,$1.1 B,Manufacturing ,Germany
Yu Renrong ,56.0,$10 B,Manufacturing ,China
Scott Cook ,69.0,$4.7 B,Technology ,United States
Tony Tan Caktiong ,69.0,$1.3 B,Food & Beverage ,Philippines
Wolfgang Herz ,71.0,$4 B,Fashion & Retail ,Germany
Sunil Mittal & family ,64.0,$13.9 B,Telecom ,India
Carlos Sanchez ,60.0,$1.4 B,Healthcare ,Brazil
Masahiro Noda ,83.0,$3.5 B,Technology ,Japan
Or Wai Sheun ,70.0,$3.3 B,Real Estate ,Hong Kong
Vivien Chen ,63.0,$1 B,Real Estate ,Hong Kong
Mangal Prabhat Lodha ,66.0,$4.7 B,Real Estate ,India
Kiril Domuschiev ,52.0,$2 B,Diversified ,Bulgaria
Rahul Gautam ,69.0,$1.8 B,Fashion & Retail ,India
Tsai Ming-kai ,71.0,$3 B,Technology ,Taiwan
Weili Dai ,60.0,$1.4 B,Technology ,United States
Farkhad Akhmedov ,66.0,$1.7 B,Energy ,Russia
Alexander Nesis ,59.0,$1.9 B,Finance & Investments ,Russia
Gerald Ford ,77.0,$2.5 B,Finance & Investments ,United States
Patrick Ryan ,84.0,$8 B,Finance & Investments ,United States
J.B. Pritzker ,57.0,$3.6 B,Finance & Investments ,United States
Faruk Eczacibasi ,67.0,$1.5 B,Diversified ,Turkey
Dmitri Bukhman ,36.0,$8.1 B,Media & Entertainment ,Israel
George Yancopoulos ,62.0,$1.4 B,Healthcare ,United States
Lou Boliang ,58.0,$1.1 B,Healthcare ,United States
Stanley Kroenke ,74.0,$10.7 B,Sports ,United States
Guan Yihong ,52.0,$1.1 B,Food & Beverage ,China
"Robert Hale, Jr. ",55.0,$3.2 B,Telecom ,United States
Emilio Azcarraga Jean ,54.0,$1.2 B,Media & Entertainment ,Mexico
Liu Yonghao & family ,70.0,$9.1 B,Service ,China
Sun Hongjun ,48.0,$1.9 B,Technology ,China
Danielle Bellon & family ,82.0,$3.6 B,Service ,France
Glenn Dubin ,64.0,$2 B,Finance & Investments ,United States
Wang Qinghua ,56.0,$1.3 B,Manufacturing ,China
Fayez Sarofim ,93.0,$1.5 B,Finance & Investments ,United States
Miguel Krigsner ,72.0,$3.3 B,Fashion & Retail ,Brazil
Piero Ferrari ,76.0,$4.2 B,Automotive ,Italy
Francoise Bettencourt Meyers & family ,68.0,$74.8 B,Fashion & Retail ,France
John Tu ,80.0,$5.6 B,Technology ,United States
Eduardo Costantini ,75.0,$1.5 B,Real Estate ,Argentina
A. Jayson Adair ,52.0,$1.1 B,Automotive ,United States
Jose E. Feliciano ,48.0,$3.4 B,Finance & Investments ,United States
David Baszucki ,59.0,$2.5 B,Media & Entertainment ,United States
Wang Wenyin ,54.0,$17.7 B,Metals & Mining ,China
Wu Xiangdong ,53.0,$1.7 B,Food & Beverage ,China
Marvy Finger ,86.0,$1.3 B,Real Estate ,United States
Terry Snow ,78.0,$1.3 B,Real Estate ,Australia
Li Hongxin & family ,69.0,$2.6 B,Manufacturing ,China
Suresh Krishna ,85.0,$1.1 B,Automotive ,India
Elizabeth Johnson ,58.0,$5.1 B,Finance & Investments ,United States
Kuan Kam Hon & family ,74.0,$2 B,Manufacturing ,Malaysia
Dietmar Hopp & family ,81.0,$5.3 B,Technology ,Germany
Dan Kurzius ,50.0,$5 B,Technology ,United States
Ramesh Juneja ,66.0,$1.4 B,Healthcare ,India
Martin Knauf ,,$1.1 B,Manufacturing ,Germany
Li Li ,58.0,$1.4 B,Healthcare ,China
R.G. Chandramogan ,73.0,$2.3 B,Food & Beverage ,India
Donald Horton & family ,72.0,$2.5 B,Real Estate ,United States
Alexey Mordashov ,56.0,$13.2 B,Metals & Mining ,Russia
Chen Bang ,56.0,$12.7 B,Healthcare ,China
Wang Linxiang ,,$1.1 B,Fashion & Retail ,China
Thomas Sandell ,61.0,$1.3 B,Finance & Investments ,Sweden
Milane Frantz ,52.0,$6.6 B,Energy ,United States
Randa Duncan Williams ,60.0,$6.6 B,Energy ,United States
